Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Swim_Time,Swim_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run_Time,Run_Seconds,Overall_Rank,Class_Rank
Martin Flinta,12,Herr,TriVäst,00:37:37,2257.4,ok,00:07:19,439.9,00:00:44,44.4,00:17:39,1059.0,00:00:31,31.5,00:11:22,682.5,1,1
Simon Flinta,15,Herr,TriVäst,00:38:54,2334.8,ok,00:06:30,390.8,00:00:47,47.2,00:18:27,1107.6,00:00:24,24.4,00:12:44,764.8,2,2
Rasmus Johansson,6,Herr,TriVäst,00:39:49,2390.0,ok,00:08:46,526.8,00:00:42,42.7,00:19:06,1146.7,00:00:07,7.6,00:11:06,666.2,3,3
Anton Söfting,9,Herr,TriVäst,00:41:37,2497.9,ok,00:08:13,493.1,00:01:13,73.3,00:19:10,1150.5,00:00:33,33.6,00:12:27,747.3,4,4
Elias Wennersten,3,Herr,TriVäst,00:43:56,2636.3,ok,00:08:20,500.9,00:02:09,129.7,00:19:20,1160.7,00:01:02,62.5,00:13:02,782.6,5,5
Christian Salgueiro Frödeberg,1,Herr,TriVäst,00:44:52,2692.8,ok,00:09:46,586.4,00:01:50,110.6,00:21:02,1262.3,00:00:54,55.0,00:11:18,678.5,6,6
Kajsa Holmes,5,Dam,TriVäst,00:46:35,2795.4,ok,00:06:52,412.8,00:01:14,74.5,00:23:02,1382.4,00:00:40,40.6,00:14:45,885.1,7,1
Erik Rosell,14,Herr,TriVäst,,0.0,partial,,0.0,,0.0,00:18:39,1119.6,00:00:20,20.6,00:11:27,687.8,,
Miriam Degerman,13,Dam,TriVäst,,0.0,partial,00:09:33,573.2,00:02:23,143.6,00:22:29,1349.1,,0.0,,0.0,,
Peter Karlsson,2,Herr,TriVäst,,0.0,partial,,0.0,,0.0,00:18:40,1120.4,00:00:23,23.3,00:12:16,736.9,,
