Name,Bib,Class,Club,Total_Time,Total_Time_Seconds,Status,Total_Transition,Transition_Seconds,Run1_Time,Run1_Seconds,T1_Time,T1_Seconds,Bike_Time,Bike_Seconds,T2_Time,T2_Seconds,Run2_Time,Run2_Seconds,Run1_In,T1,Bike_Out,Bike_In,T2,Run2_Out,Overall_Rank,Class_Rank
Jonathan Flod,11,Herr,TriVäst,00:58:19,3500.0,ok,00:01:02,62.3,00:17:01,1021.1,00:00:27,27.1,00:31:34,1894.5,00:00:35,35.2,00:08:42,522.1,00:17:01,00:00:27,00:17:28,00:49:02,00:00:35,00:49:37,1,1
Kristoffer Säfström,18,Herr,TriVäst,00:58:22,3502.1,ok,00:00:56,56.4,00:17:13,1033.8,00:00:34,34.3,00:31:13,1873.8,00:00:22,22.1,00:08:58,538.1,00:17:13,00:00:34,00:17:48,00:49:01,00:00:22,00:49:23,2,2
Fredrik Überbacher,13,Herr,TriVäst,01:04:08,3848.2,ok,00:01:16,76.7,00:17:29,1049.9,00:00:42,42.1,00:35:19,2119.9,00:00:34,34.5,00:10:01,601.7,00:17:29,00:00:42,00:18:12,00:53:32,00:00:34,00:54:06,3,3
Erik Arnström,26,Herr,Gäst,01:06:54,4014.9,ok,00:01:00,60.7,00:19:59,1199.2,00:00:37,37.7,00:36:29,2189.4,00:00:22,23.0,00:09:25,565.6,00:19:59,00:00:37,00:20:36,00:57:06,00:00:22,00:57:29,4,4
Jan Ljungcrantz,14,Herr,TriVäst,01:07:45,4066.0,ok,00:01:20,80.7,00:19:37,1177.2,00:00:42,42.0,00:36:40,2200.0,00:00:38,38.6,00:10:08,608.1,00:19:37,00:00:42,00:20:19,00:56:59,00:00:38,00:57:37,5,5
John Gunneling,29,Herr,Gäst,01:09:52,4192.6,ok,00:01:56,116.9,00:19:10,1150.9,00:01:03,63.4,00:38:21,2301.4,00:00:53,53.6,00:10:23,623.4,00:19:10,00:01:03,00:20:14,00:58:35,00:00:53,00:59:29,6,6
Martin Flinta,17,Herr,Gäst,01:11:47,4307.8,ok,00:01:33,93.8,00:21:58,1318.0,00:00:38,38.2,00:37:00,2220.9,00:00:55,55.5,00:11:15,675.1,00:21:58,00:00:38,00:22:36,00:59:37,00:00:55,01:00:32,7,7
Mattias Lüpper,27,Herr,Gäst,01:11:52,4312.6,ok,00:01:25,85.7,00:22:10,1330.1,00:00:37,37.2,00:37:18,2238.3,00:00:48,48.5,00:10:58,658.5,00:22:10,00:00:37,00:22:47,01:00:05,00:00:48,01:00:54,8,8
Marko Strube,24,Herr,TriVäst,01:11:55,4315.7,ok,00:01:52,112.5,00:22:21,1342.0,00:00:58,58.7,00:35:59,2159.5,00:00:53,53.7,00:11:41,701.7,00:22:21,00:00:58,00:23:20,00:59:20,00:00:53,01:00:13,9,9
Ludvig Sylvan,16,Herr,TriVäst,01:14:02,4442.4,ok,00:01:18,78.0,00:23:22,1402.5,00:00:41,41.8,00:37:15,2235.8,00:00:36,36.2,00:12:06,726.1,00:23:22,00:00:41,00:24:04,01:01:20,00:00:36,01:01:56,10,10
Josefine Flod,4,Dam,TriVäst,01:14:16,4456.9,ok,00:01:18,78.4,00:23:27,1407.9,00:00:45,45.6,00:37:39,2259.3,00:00:32,32.8,00:11:51,711.4,00:23:27,00:00:45,00:24:13,01:01:52,00:00:32,01:02:25,11,1
